"db","query","kingdom","phylum","class","order","family","genus","species"
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Blattodea","Metazoa","Arthropoda","Insecta","Blattodea",NA,NA,NA
"ncbi","Megaloglossus woermanni","Metazoa","Chordata","Mammalia","Chiroptera","Pteropodidae","Megaloglossus","Megaloglossus woermanni"
"ncbi","Cantharidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cantharidae",NA,NA
"ncbi","Cantharidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cantharidae",NA,NA
"ncbi","Carabidae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA
"ncbi","Carabidae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae",NA,NA
"ncbi","Cerambycidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cerambycidae",NA,NA
"ncbi","Cerambycidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cerambycidae",NA,NA
"ncbi","Cetoniidae","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"ncbi","Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA
"ncbi","Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA
"ncbi","Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA
"ncbi","Curculionidae","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
"ncbi",NA,NA,NA,NA,NA,NA,NA,NA
